,வாக்கியங்கள்
452,"‘குருநாதரே, இனி இந்த மண்ணில் குருஷேத்ரங்கள் நிகழக்கூடாது"
453, இனிமேல் மானுடக்குருதி மண்ணில் விழக்கூடாது
454, அதற்கான வழி உண்டா? அதை மட்டும் சொல்லுங்கள்’ என்றான் ஜனமேஜயன்
455, நூல்களை ஆராய்ந்து வைசம்பாயனர் ‘ஆம் உண்டு’ என்று சொன்னார்
456, ‘அது தேவர்களும் அசுரர்களும்கூட நினைக்கமுடியாத வழி
457, காமமும் அகங்காரமுமாக ஈரேழு உலகையும் நிறைத்திருக்கும் நாகர்களை இந்த மண்ணிலிருந்தும் விண்ணிலிருந்தும் பாதாளத்திலிருந்தும் முழுமையாகவே அழிக்கவேண்டும்
458, அதற்குரிய பூதயாகம் ஒன்றை அதர்வவேதம் சொல்கிறது
459, அதன் பெயர் சர்ப்பசத்ர வேள்வி
460, அந்தவேள்வியை முழுமையாக நாம் நடத்திமுடித்தால் மனிதகுலத்தின் உள்ளங்களுக்குள் உறைந்து கிடக்கும் மொத்த இருட்டையும் அந்த வேள்வித்தீயில் எரித்து அழிக்கமுடியும்
461, கடைசி பாம்பும் எரிந்து அழியும்போது மனிதகுலத்தின் உள்ளங்கள் முழுக்க தூய வெளிச்சம் மட்டும்தான் மிச்சமிருக்கும்
462, அங்கே போட்டியும் பொறாமையும் இருக்காது 
463,காமமும் வெறுப்பும் இருக்காது… அதற்குப்பின் உலகத்தில் தீமையே இருக்காது… மனிதகுலத்தில் போரே நடக்காது…’
464,‘அதைசெய்கிறேன் குருநாதரே’ என ஜனமேஜயன் தன் ஆசிரியரின் கால்களை பற்றிக்கொண்டான்
465, ‘என் அரசு செல்வம் அனைத்தையும் அதன்பொருட்டு செலவிடுகிறேன்
466, அதற்காகவே வாழ்கிறேன்…
467,"அதற்காக எதற்கும் சித்தமாக இருக்கிறேன்’ கண்ணீருடன் அவன் சொன்னான் “குருஷேத்ர மண்ணில் செத்து விழுந்த ஐந்துலட்சம் மனிதர்களிடம் நான் சொல்லவிரும்புகிறேன் குருநாதரே, எங்கள் மூதாதையர்களே நீங்கள் நிம்மதியாக உறங்குங்கள்"
468, இனிமேல் நாங்கள் போர் செய்ய மாட்டோம்
469, இனிமேல் நாங்கள் சகமனிதனை வெறுக்க மாட்டோம்
470, நீங்கள் உங்கள் உயிரைக்கொடுத்து கற்றுத்தந்த பாடத்தை நாங்கள் கற்றுக்கொண்டோம்… அப்படியொரு சொல்லை என்னால் சொல்லமுடிந்தால் நான் குருகுலத்தின் வாழ்க்கையை நிறைவுசெய்தவன் ஆவேன்
471, களத்தில்பட்ட அத்தனை குருவம்சத்தினருக்கும் என் கடனைச் செய்தவனாவேன்”
472,ஜனமேஜயனின் ஆணைப்படி இருபதாண்டுகாலம் முயன்று வைசம்பாயனர் சர்ப்பசத்ர வேள்வியை ஒருங்கிணைத்தார்
473, நான்குமாதங்கள் எட்டுத்திசைகளிலும் நடந்த உபவேள்விகள் வழியாக சமித்துகளை சேர்த்தார்
474,அதற்காக பாரதவர்ஷமெங்கணும் இருந்து முனிவர்களையும் வைதிகர்களையும் பண்டிதர்களையும் வரவழைத்தார்
475, பாரதவர்ஷத்தின் ஐம்பத்தாறு தேசங்களிலிருந்தும் வேள்விநெருப்புக்குரிய ஆயிரத்தி எட்டு அவிப்பொருட்களை சேர்த்தார்
476, பங்குனி மாதம் கிருஷ்ணபக்‌ஷம் முதல்நாளில் அரண்மனை அருகே எழுப்பப்பட்ட வேள்விக்கூடத்தில் மகாசர்ப்பசத்ர வேள்வி தொடங்கியது
477," முப்பத்துமுக்கோடி வானவரும், மும்மூர்த்திகளும், மூதாதையரும் அவியளித்து நிறைவுசெய்யப்பட்டனர்"
478, திசைத்தேவர்களும் விண்ணகமுனிவர்களும் வேதமூர்த்திகளும் மகிழ்விக்கப்பட்டனர்
479, காவல்பூதங்களும் கானகதேவதைகளும் கனியச்செய்யப்பட்டனர்
480, வேள்விமங்கலம் நிறைவடைந்தபின் நாற்பதுநாட்களுக்குப்பின்பு பூர்ணாகுதி நிகழவேண்டிய இறுதி நாள் அன்று
481,ஆடிமாதம் வளர்பிறை ஐந்தாம்நாள்
483,"சர்பசத்ரவேள்விப்பந்தலில் பெருமுரசம் தொலைதூர இடியோசை போல முழங்க, மணிமுடி சூடி உள்ளே நுழைந்தபோது ஜனமேஜயன் தன் இளமைக்கால நினைவொன்றில் அலைந்து கொண்டிருந்தார்"
484, அவரும் தம்பியர் உக்ரசேனனும் சுருதசேனனும் பீமனும் சிறுவர்களாக வனலீலைக்குச் சென்றபோது நடந்தது அது
485, யமுனைநதிக்கரையில் அவர்கள் சிறுவேட்டையாடியும் மரங்களிலாடியும் நீரில் துழாவியும் விளையாடினர்
486, ஜனமேஜயன் தன் தம்பி சுருதசேனனிடம் வேள்விசெய்து விளையாடலாமெனச் சொன்னான்
487, சத்ரியர்கள் செய்யவேண்டிய வேள்விச்சடங்குகள் அவர்களுக்கு அப்போதுதான் கற்பிக்கப்பட்டிருந்தன
488," நதிக்கரையில் கல்லடுக்கி வேள்விக்குளம் அமைத்து, சமித்துகள் பொறுக்கிச் சேர்த்து, அரணிக்கட்டை உரசி நெருப்பாக்கி அவர்கள் வேள்வியைத் தொடங்கினர்"
489, வேட்டையாடி கொண்டுவந்திருந்த மாமிசத்தையும் காட்டுமலர்களையும் காய்களின் நெய்யையும் ஆகுதியாக வைத்தனர்
491,வேள்விக்குதிரை இல்லையே என்று சுருதசேனன் கேட்டான்
492, காட்டிலிருந்து ஏதாவது ஒரு மிருகத்தை கொண்டுவா என்று ஜனமேஜயன் சொன்னான்
493, தம்பியர் மூவரும் புதர்களை துழாவுகையில் குழிக்குள் கிடந்த ஒரு நாய்க்குட்டியைக் கண்டனர்
494, எட்டு நாட்களுக்கு முன் காட்டுநாய் ஒன்று பெற்றிட்டது அந்தக்குட்டி
495, அதை அதன் அன்னை ஷிப்ரதேஜஸ் என அழைத்தது
496, வேட்டைக்குச் சென்ற அன்னை கொண்டுவரும் உணவுக்காக பசியுடன் காத்திருந்து சலித்து மெல்ல புதருக்குள் இருந்து வெளிவந்து அது முந்தையநாள் திறந்த புத்தம்புதிய கண்களால் உலகத்தைப்பார்த்தபோதுதான் அவர்கள் அதைக்கண்டடைந்தனர்
497, அதை சுருதசேனன் தூக்கிக்கொண்டு வந்தான்
498, அதையே வேள்விக்குதிரையாக உருவகித்து அதற்கு காட்டுக்கொடிகளால் சேணமும் கடிவாளமும் இட்டு வேள்வித்தூணில் கட்டினர்
499, அதர்வவேத மந்திரங்களை முழக்கி வேள்வியைத் தொடங்கினர்
501,பசித்த நாய்க்குட்டி நான்குகால்களையும் ஊன்றி திமிறி கழுத்தை கட்டில் இருந்து உருவி ஓடிவந்து தன் இயற்கையால் மாமிச வாசனையை வாங்கிக்கொண்டு சிறியவாலை ஆனந்தமாகச் சுழற்றியபடி வேள்விப்பொருளாக வைக்கப்பட்டிருந்த மானிறைச்சியை நக்கி உண்ண ஆரம்பித்தது
502, திரும்பி அதைப்பார்த்த ஜனமேஜயன் தன் கையிலிருந்த தர்ப்பையால் அதன் முகத்தில் ஓங்கியறைந்தான்
503," தர்ப்பை முட்கள் கண்ணில் குத்த நாய்க்குட்டி விழிகளை இழந்து ஓலமிட்டழுதபடி செடிகளில் முட்டியும், கற்களில் தடுக்கியும், கொடிகளில் சிக்கியும் காட்டுக்குள் ஓடியது"
504, அந்த ஓலம் விண்ணகத்தில் இருக்கும் நாய்களின் தெய்வமாகிய சரமையின் செவிகளில் விழுந்தது
505," அந்தச்சிறுநாயில் குடிகொண்டு எழுந்து, பொன்னிற உடலும், நீண்ட வாலும், அர்க்யமிடக் குவிந்த கரங்கள் போன்ற செவிகளுமாக ஜனமேஜயன் முன்னால் சரமை வந்து நின்றது"
507,வேள்விச்சாலைக்குள் புகுந்த மாமன்னனையும் பட்டத்தரசியையும் வைசம்பாயனர் அழைத்துச்சென்று செம்மணிக்கண்கள் விழித்த பொற்சிம்மங்கள் வாய்திறந்து நின்ற ஆசனத்தில் அமரச்செய்தார்
508, யுதிஷ்டிரர் அமர்ந்த அரியணை என்பதனால் தர்மபதம் என்று அழைக்கப்பட்ட அது அறம் வழுவியவர்களை எரித்தழிப்பது என்றனர் சூதர்கள்
509, குடிமக்களின் வாழ்த்தொலிகளும் வேதகோஷமும் கலந்து அருவியொலிபோல எழுந்தன
510, முனிவர்களின் மலர்களும் வைதிகரின் மங்கலஅரிசியும் அவர் மீது மழையெனப் பொழிந்தன
512,யக்ஞ எஜமானராகிய வைசம்பாயனர் கைகூப்பி “சக்கரவர்த்திக்கு வணக்கம்
513, இன்று இந்த வேள்வியின் இறுதிநாள்
514, இன்றும் தாங்களே வேள்விக் காவலனாக அமர்ந்து இதை முழுமைசெய்யவேண்டும்” என்று கேட்டுக்கொண்டார்
515, ஜனமேஜயன் “அவ்வாறே ஆகட்டும்” என்றபடி கைகூப்பியபடி சிம்மாசனத்தில் அமர்ந்தார்
516," அமைச்சர் ஒருவர் ஜனமேஜயன் கையில் பட்டில் சுற்றப்பட்ட நாரதசுருதியின் ஒரு ஏட்டுப்பிரதியை அளிக்க, தலைமை தளகர்த்தர் மணிகள் ஜொலித்த பொன் உறையுடன் கூடிய சிறிய உடைவாளை அளித்தார்"
517, நால்வருணத்து குடித்தலைவர் நால்வர் சேர்ந்து ஜனமேஜயனின் செங்கோலைக்கொண்டுவந்து அவரிடம் அளித்தனர்
518, மேலே விரிந்த தாமரைமீது அமுதகலசச் சின்னம் கொண்ட பொற்செங்கோலை ஜனமேஜயன் வலக்கையில் ஏந்திக்கொண்டார்
521,ஓவியம்: ஷண்முகவேல்
522,வைசம்பாயனர் அவருக்கான பீடத்தில் அமர்ந்துகொண்டதும் முதன்மை ஹோதாவான சண்டபார்க்கவர் எழுந்து வணங்கி தர்ப்பையை அவர் கையில் கொடுத்து வேள்வியை முடிக்கும்படி கோரினார்
523, கடலோரத் திராவிடச்சேர நாட்டிலிருந்து வந்திருந்த சண்டபார்க்கவர் பிருகுவின் மைந்தரான சியவன முனிவரின் குருகுலத்தைச் சேர்ந்தவர்
524," நால்வகை வேதங்களில் அதர்வத்தை முதன்மையாக்கி, பூதயாகங்களை முதல்முறைமையாகக் கொண்டு, யோகானுஷ்டானங்கள் வழியாக பிரம்மத்தை அணுகும் சியவன முறை தென்மேற்குத் திராவிடத்திலும் வங்கத்திலும் மட்டுமே தழைத்திருந்தது"
525, சண்டபார்க்கவர் தர்ப்பையை நாகவிரலில் கட்டுவதைக் கண்டதுமே ஆஸ்திகன் அவர் தான் கற்ற சியவன குருகுலத்தவர் என்பதைக் கண்டுகொண்டான்
527,முரசுகள் மீண்டும் முழங்கியதும் அதுவரை இருந்த ரித்விக்குகள் எழுந்து புதியவர்கள் அமர்ந்துகொண்டனர்
528, அனைவரும் கரடித்தோலை போர்த்தியிருந்தனர்
529, ஒவ்வொருவரின் பின்னாலும் உபஹோதாக்கள் அமர்ந்து சமித்துக்களை எடுத்துக்கொடுக்க அவர்கள் கடைசிகட்ட ஆகுதிகளை ஆரம்பித்தனர்
530," எளியவையும் அரியவையுமான நீரும், இலைகளும், மலர்களும் முதல்கட்டத்தில் நெருப்புக்கு அளிக்கப்பட்டன"
531," அரியவையும் இன்றியமையாதவையுமான நெய்யும், உணவும், ஆடைகளும் அதன்பின்னர் அவியாக பொழியப்பட்டன"
532," அதன்பின் அரியவையும், அற்பமானவையும், மாமன்னர்கள் படைதிரட்டி ஒருவரையொருவர் கொன்றுகுவிக்கக் காரணமாக அமைந்தவையுமான நவமணிகள் அவியிடப்பட்டன"
533, வேள்விச்சாலையில் ஒவ்வொருவர் கண்களும் அவற்றிலேயே பதிந்திருந்தன
534," கண்ணீர்த்துளிகள்போல, குருதித்திவலைகள் போல, விந்துச்சொட்டுகள் போல அவை நெருப்பில் விழுந்தபோது அரங்கெங்கும் நெடுமூச்சுகள் எழுந்தன"
536,"பூதயாகத்திற்கென நவத்துவாரங்களையும் மூடி முறைப்படி கொல்லப்பட்ட மானின் இறைச்சியும், பன்றியின் இறைச்சியும், பசுங்கன்றின் இறைச்சியும் அவியாக்கப்பட்டன"
537," சத்வ, தமோ, ரஜோ குணம் கொண்ட அவை விண்ணாளும் தேவர்களுக்கு உணவாயின"
538," பாதாளமூர்த்திகளுக்கு காகங்களும், நீர்த்தவளைகளும், தேரட்டைகளும், மீன்களும் அவியாக்கப்பட்டன"
539, பறப்பவையும் தாவுபவையும் ஊர்பவையும் நீந்துபவையுமான அத்தெய்வங்களெல்லாம் அவிபெற்று பசியடங்கின
540, கடைசியாக சண்டபார்க்கவரும் அவருடன் வந்த பதினெட்டு ஹோதாக்களும் தம் வலக்கைகளைக் கிழித்து சொட்டிய குருதியை அவியாக்கினர்
542,யாகநெருப்பு பலாசவிறகையும் ஆலமர விழுதையும் உண்ணும் அதே பாவனையில் அவற்றை எல்லாம் உண்டு நின்றாடியதை ஆஸ்திகன் கண்டான்
543," அதர்வ வேத சூக்தங்கள் வானிலிருந்து இழியும் அருவியின் ஓசையில், துதிக்கை தூக்கி பிளிறும் மதகரியின் குரலில், நிலத்தை அறைந்து கர்ஜிக்கும் சிம்மத்தின் ஒலியில் கேட்டுக்கொண்டிருந்தன"
544, பின்பு வைசம்பாயனர் எழுந்து கை கூப்பினார் “இன்று சிராவண மாதம் சுக்லபஞ்சமி
545, இதோ வேள்விநெருப்புக்கு அன்னத்தை அவியாக அளிப்பது முழுமையாகி விட்டது வைதிகர்களே… ஐம்பூதங்களும் வேள்வியால் இப்போது தூய்மையாகிவிட்டன
546, நாம் நம் அகங்காரத்தின் அடையாளமாக நம்மிடமிருக்கும் அனைத்துப் பொருட்களையும் இந்தத் தழலுக்கு உணவாக்கி விட்டோம்…இனி நம் மனங்களில் உள்ள காமத்தையும் குரோதத்தையும் மோகத்தையும் இந்த நெருப்பிலே அவிஸாக்குவோம்!” என்றார்
548,ரித்விக்குகளுடனும் ஹோதாக்களுடனும் இணைந்து அங்கிருந்த அனைவரும் தங்கள் நெஞ்சிலிருந்து எண்ணங்களை கையால் அள்ளி தீயில் போடுவது போல சைகை காட்ட அவற்றையெல்லாம் ஏற்றுக்கொண்டதுபோல தீ பின்வாங்கி கருகி பின்னர் மேலே எழுந்து படபடத்தது
549, ஆஸ்திகன் நெளியும் பல்லாயிரம் சர்ப்பங்களைப்போல அந்தக் கைகளை உணர்ந்தான்
550, தன்னிலிருந்து தன்னை விலக்கும் கைகள் ஒரு கட்டத்தில் வெளியிலிருந்து தனக்குள் எதையோ அள்ளி நிரப்புபவையாகத் தோன்றின
551, அந்தச்சைகைகள் ஒருவகையான ஒத்திசைவை அடைந்த ஒரு கணத்தில் நீலத்தழல்பீடம் மீது ஏறிய செந்தழல் எழுந்து பறந்து கைநீட்டி வேள்விமண்டபத்தின் கூரைவிளிம்பைப் பற்றிக்கொண்டு மேலேறியது
552, வேள்விமண்டபத்தின் ஈச்சையோலைக்கூரை தீப்பற்றி செந்நெருப்புத்தழலாட எரியத்தொடங்கியது
554,தீ வேள்விக்கூடத்தின் கூரையெங்கும் படர்ந்து அவர்கள் தலைக்குமேல் செந்நிறக் கூரைபோல நின்று எரிந்தது
555, அவர்கள் அனைவரும் மெல்ல உடல்தொய்ந்து அமைய கைகள் தளர்ந்து மடிமீது விழுந்தன
556, மூச்சொலிகள் மட்டும் வேள்விக்கூடத்தில் நிறைந்திருந்தன
557, வைசம்பாயனர் “நாம் அனைவரும் தூயவர்களானோம் என்பது உண்மை என்றால் இந்த வேள்விமண்டபத்தில் வருணனே வந்து எங்களுக்கு சான்று சொல்லட்டும்!” என உரக்கக் கூவினார்
558, வைதிகர்கள் “ஓம்! அவ்வாறே ஆகட்டும்!” என சேர்ந்து முழங்கினர்
559," மழை பல்லாயிரம்கோடி முள்ரோமக் காலடிகளுடன் நெருங்கிவந்து வேள்விச்சாலையைத் தழுவி அப்பால் செல்ல, கூரை அதிர்ந்தது"
560, தீநாக்குகள் குன்றி கருகல்முனைகளுக்குள் புகுந்துகொண்டன
562,வைசம்பாயனர் “ரிஷிகளே! ரித்விக்குகளே! மகா வைதிகர்களே! இதோ வருணனே வந்து நம்மை அங்கீகரித்துவிட்டான்! இனி நம் ஆன்ம சக்தியை முழுக்க திரட்டுவோம்
563, மனிதகுலத்தின் மொத்தத் தீங்கையும் திரட்டி இந்த வேள்விச்சாலைக்குக் கொண்டுவருவோம்! அவற்றை இந்த அக்கினிக்கு அவிஸாக ஏற்றுவோம்!” என்றார்
564, “ஓம் அவ்வாறே ஆகுக!” என அவை முழங்கியது
566,ஆவாஹன வேள்வி தொடங்கியது
567, அதர்வ மந்திரங்கள் பதினாறு கைகளும் எட்டு முகங்களும் கொண்ட உக்கிர ரூபிகளான பாதாளமூர்த்திகள் போல எழுந்து வந்து நின்றன
568, மண்ணிலிறங்கிய விண்ணக மின்னல்கள் போல வெட்டிவெட்டி அதிர்ந்தடங்கின
569, அக்கணம் ஒரு அச்சம் நிறைந்த கூச்சல் எழுந்தது
570, சில வைதிகர் பதறி எழுந்து விலகினார்கள்
571, அங்கே ஒரு பெரிய கருநாகம் முதல்மழையின் ஓடைநீர் போல தயங்கி நெளிந்து வருவதை ஆஸ்திகன் கண்டான்
572, நிலைக்காத வேத ஒலிக்கேற்ப பாம்பு மண்ணில் நீந்திச்சென்று வேள்விக்குளத்தை அணுகி வில்லென வளைந்து தன்னையே அம்பாகச் செலுத்தி தீயில் விழுந்து துடித்து துடித்து எரிந்ததைக்கண்டு ஜனமேஜயன் கைகூப்பினார்
574,வேள்விக்கூடமெங்கும் பல நாகங்கள் தோன்றி ஊர்ந்து வந்து வேள்வித்தீயில் ஏறிக்கொண்டன
575, துண்டிக்கப்பட்ட குரங்கு வால்கள் போன்ற சிறிய பாம்புகள்
576, இருட்டின் தும்பிக்கை நீள்வதுபோல வந்த பெரும்பாம்புகள்
577, அவர்கள் ஒவ்வொருவர் நடுவிலிருந்த இருட்டும் பாம்புகளாகியது
578, அவர்களின் மடியின் மடிப்புகளுக்குள் இருந்த நிழல்கள் பாம்புகளாக மாறின
579, அவர்களின் அக்குளுக்குள் இருந்த துளியிருள் பாம்பாயிற்று
580, பின் அவர்களின் வாய்களுக்குள்ளும் நாசிகளுக்குள்ளும் இருந்த நிழல்கள்கூட பாம்புகளாக மாறி மண்ணில் நெளிந்துசெல்லக் கண்டனர்
581," அன்னை மடியில் தாவி ஏறும் குழந்தைகள் போல, ஆற்றில் கலக்கும் சிற்றோடைகள் போல நெருப்பை அணுகி அதில் இணைந்துகொண்டன"
583,அத்தனை பாம்புகளும் வேள்விநெருப்பில் மறைந்ததும் அப்பகுதியெங்கும் எரிதலற்ற ஒளி நிறைந்திருப்பதை அவர்கள் கண்டனர்
584, ஓவியப்பரப்பு போல அவர்களனைவரும் ஒன்றாகிவிட்டதாக உணர்ந்தனர்
585, நிழல்களெல்லாம் அகன்றுவிட்டதே அதற்குக் காரணம் என்று அவர்களில் சிலரே அறிந்தனர்
586, குளத்தின் எஞ்சிய நீர் வெளிமடைநோக்கிச் செல்வதுபோல நாகப்பாம்புகள் வேள்விக்குளத்துக்குள் புகுந்து மறைந்தன
587, முதுமையாலோ மயக்கத்தாலோ ஆங்காங்கே தேங்கி வளைந்து கிடந்த சில நாகங்களை ஹோதாக்கள் தர்ப்பைப்புல் நுனியால் மெல்லத்தீண்ட அவை சிலிர்த்து எழுந்து வளைந்து வேள்விப்பீடத்தில் தொற்றி ஏறி நெருப்பை அடைந்தன
589,வைசம்பாயனர் வணங்கி “மாமன்னரின் விருப்பம் இதோ முழுமை கொண்டது
590, இவ்வுலகத்தின் அழுக்குகள் எல்லாம் பொசுங்கி விட்டன… நாளை உதித்து எழும் சூரியன் புத்தம்புதிய பூமியை பார்க்கப்போகிறான்!” என்றார்
591, அவை அவரது சொற்களை ஏற்று ஆரவாரம் செய்தது
592, ஆனால் கூட்டத்தை தயங்கும் விழிகளால் பார்த்துவிட்டு கைகூப்பி எழுந்த ஜனமேஜயன் “வைசம்பாயனரே…இன்னும் தட்சனும் தட்சகியும் வரவில்லையே
594,” என்றார்
596,வைசம்பாயனர் அதை அப்போதுதான் உணர்ந்து திகைத்தார்
597, ஜனமேஜயன் “தட்சன் அரசநாகம்
598, குன்றாத வீரியத்தின் சின்னம்
599, அவன் ஒருவன் மிஞ்சினாலே போதும் மீதி அனைத்து நாகங்களையும் பாம்புகளையும் அவன் ஒருவனே உருவாக்கிவிடுவான்
601,” என்றார்
602, மீண்டும் ஆகுதிகள் தொடங்கின
603, மீண்டும் குடம்குடமாக நெய்யும் சமித்துகளும் கொட்டப்பட்டன
604, தங்கள் அனைத்து நல்வினைகளையும் ஆகுதியாக்கினர்
605, தங்கள் மூதாதையருக்கென அகக்கையில் எஞ்சியிருக்கும் கடைசி பலியுணவையும் ஆகுதியாக்கினர்
606, தங்கள் மரணக்கணத்தில் நாவில் சொட்டவேண்டிய இறுதி நீர்த்துளியையும் அளித்தனர்
607, அப்போதும் தட்சன் வரவில்லை
609,வைசம்பாயனர் முதன்மை நிமித்திகனை அழைத்து தட்சன் எங்கே என்று குறிகள் நோக்கி சொல்லும்படி ஆணையிட்டார்
610," எட்டு திசைமுனைகளில் குருதிச்சொட்டு வீழ்த்தி ஏழு சோழிகளை உருட்டி அவற்றின் நடுவே ஓடும் சரடுகளைக் கணக்கிட்டு நிமித்திகன் சொன்னான், “குருநாதரே, தட்சன் நேராக இந்திரனின் சபைக்குச் சென்று அவன் காலடியில் விழுந்து அடைக்கலம் கோரி பெற்றிருக்கிறான்"
611,” ஜனமேஜயன் “அப்படியென்றால் அந்த இந்திரனையே இங்கே வரவழையுங்கள்”‘ என்று கூவினார்
612,  வைசம்பாயனர் திகைத்து ஏதோ சொல்லவருகையில் கைநீட்டித்தடுத்து “நீங்கள் செய்யும் வேள்விக்கு ஆற்றலிருந்தால் இந்திரனை கொண்டு வாருங்கள்” என்று ஜனமேஜயன் கூச்சலிட்டார்
614,வைசம்பாயனர் “சக்ரவர்த்தி…இந்திரன் தேவருலகுக்கே தலைவன்” என்றார்
615, ஜனமேஜயன் “யாராக இருந்தாலும் சரி…நான் இந்தவேள்வியை முடிக்காமல் விட்டால் இதுவரை வாழ்ந்ததற்கே பொருள் இல்லை…முடியாது…
616,இந்த வேள்வி முடிந்தாகவேண்டும்…கட்டிவாருங்கள் இந்திரனை” என்றார்
617, “இங்கே இப்போது இந்த வேள்வி முழுமையாகவேண்டும்
618, மும்மூர்த்திகளையே சிறையிட்டாலும் சரி” என்றார்
620,எரிந்து எழுந்த வேள்விச்சுடரில் அவர்கள் தங்கள் இறுதி ஆகுதியைச் செலுத்தினர்
621, தலைமுறைகள் உறங்கும் தங்கள் விந்துக்களின் வீரியங்கள் அனைத்தும் அவியாகுக என்றனர்
622, அந்த மதலைகளைப் பற்றிய தங்கள் கனவுகளும் எரிந்தழிக என்றனர்
623," வைசம்பாயனர் இருகைகளையும் விரித்து “இந்திரனே, எங்கள் வேள்வி முழுமையடைந்தது என்றால் இங்கே வேள்வித்தூணாக நடப்பட்டிருக்கும் அத்திமரக்கிளையில் வந்து நில்!” என கூவினார்"
624, அப்போது வானம் இடியொலியுடன் பிளக்க மின்னலின் பாதை ஒன்று மண்ணுக்கிறங்கியது
625, அந்தமின்னல் தீண்டிய அத்திமரம் எரிய ஆரம்பித்தது
626, வைசம்பாயனர் “இதோ இந்திரன் அத்திமரத்திலே கட்டப்பட்டு நிற்கிறான்” என்றார்
628,”இனி கூப்பிடுங்கள் தட்சனை
630,எங்கே போகிறான் என்று பார்ப்போம்…கூப்பிடுங்கள்” என எக்களிப்புடன் கூவியபடி ஜனமேஜயன் வேள்விச்சாலையின் நடுவே நிமித்திகனின் பீடத்தில் வந்து நின்றார்
631, மண்ணை விலக்கி முளைத்தெழும் வாழைக்கன்றுபோல தலை நீட்டி தட்சன் மேலெழுந்து வந்தான்
632, கரும்பனையின் தடி போன்ற உடலை மெதுவாக நெளித்து வேள்விச்சாலையில் தவழ்ந்து வேள்வித்தீ நோக்கிச் சென்றான்
633, அவனுக்குப்பின்னால் அவனைப்போன்றே தெரிந்த தட்சகியும் எழுந்து வந்தாள்
634, வேள்விக்கூடமே மரணமுனையில் பதுங்கியிருக்கும் வனமிருகம் போல விரைத்து அமர்ந்திருக்க நடுங்கும் கரங்களுடன் அவியளித்து ரித்விக்குகள் வேதக்குரலெழுப்ப பாம்புகள் ஒன்றை ஒன்று தழுவி முறுகியபடி மெல்ல முன்னகர்ந்தன
636,அப்போது ஆஸ்திகன் எழுந்து கை நீட்டி “நில்லுங்கள்…
637, நில்லுங்கள் வைதிகர்களே” என்று குரலெழுப்பினான்
638, வேள்விக்கூடமே அவனை நோக்கித்திரும்பியது
639, ஜனமேஜயன் திகைப்புடன் திரும்பி “யார் நீங்கள்? என்ன வேண்டும்?” என்றார்
641,”என் பெயர் ஆஸ்திகன்…நான் ஜரத்காரு ரிஷியின் மகன்…நைஷ்டிக பிரம்மசாரி…எனக்கு இன்னும் வேள்விக்காணிக்கை தரப்படவில்லை
642, என் அனுமதி இல்லாமல் இந்த வேள்வியை நீங்கள் முடிக்கமுடியாது” என்று ஆஸ்திகன் சொன்னான்
644,ஜனமேஜயன் அக்கணத்தில் வேள்விச்சாலையைக் கட்டிய சிற்பி விஸ்வசேனன் நிமித்தம்பார்த்து அந்தவேள்விக்கு ஒரு பிராமணனால் தடைவரக்கூடும் என்று சொன்ன சொற்களைத்தான் நினைவுகூர்ந்தார்
645, ”என்ன காணிக்கை வேண்டும்
646, எதுவானாலும் இதோ இப்போதே பெற்றுக்கொள்ளுங்கள்” என்று பதற்றத்துடன் சொன்னார்
648,ஆஸ்திகன் ”தட்சன் உயிரை எனக்கு தட்சிணையாகக் கொடுங்கள்” என்று கேட்டான்
649, அதிர்ந்து கலங்கிய ஜனமேஜயன் “என்ன கேட்கிறீர்கள் உத்தமரே…இந்த தேசத்தைக் கேளுங்கள்
650, என் உயிரைக் கேளுங்கள்
651, என் மூதாதையர் எனக்களித்த நல்லூழ்கள் அனைத்தையும் கேளுங்கள்
652, இதை மட்டும் கேட்காதீர்கள்
653, இது என் வாழ்க்கையின் இலக்கு
654, நான் அடையப்போகும் முழுமை
656, இதை மட்டும் கேட்காதீர்கள்” என்று கெஞ்சினார்
657," ஆனால் ஆஸ்திகன் “மாமன்னரே, நாநூறு காதம் நடந்து நான் வந்ததே இதற்காகத்தான்"
658, இதுவன்றி வேறெந்த காணிக்கையும் எனக்குத்தேவையில்லை” என்றான்
659, “எனக்கு காணிக்கை கிடைக்கவில்லையென்றால் தர்ப்பையை கையில் வைத்தபடி இந்த வேள்வி முடிவடையக்கூடாது என்று அவச்சொல்லிடுவேன்…ரிஷியாகிய நான் சொல்லாமல் இந்த வேள்வியை முடிக்கமுடியாது”
660,கடும்சினத்துடன் “யார் நீங்கள்? எதற்காக இதைச்செய்கிறீர்கள்?’ என்று ஜனமேஜயன் கேட்டார்
